model_id,org,downloads,likes,tags,created_at,fetch_date,card_chars,has_card,watermark_raw,watermark,watermark_evidence,provenance_raw,provenance,provenance_evidence,synthetic_disclosure_raw,synthetic_disclosure,synthetic_disclosure_evidence,prohibited_uses_raw,prohibited_uses,prohibited_uses_evidence,downstream_obligation_raw,downstream_obligation,downstream_obligation_evidence,regulatory_reference_raw,regulatory_reference,regulatory_reference_evidence,watermark_dependency_only,any_provenance_signal,any_provenance_signal_raw,license,license_group,download_tier,base_model,is_derivative
city96/FLUX.1-dev-gguf,city96,241232,1426,"gguf,text-to-image,image-generation,flux,base_model:black-forest-labs/FLUX.1-dev,base_model:quantized:black-forest-labs/FLUX.1-dev,license:other,region:us",2024-08-15 02:27:07+00:00,2026-09-09,625,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,other,other,100k-1M,black-forest-labs/FLUX.1-dev,True
black-forest-labs/FLUX.2-small-decoder,black-forest-labs,216631,173,"diffusers,safetensors,text-to-image,image-editing,flux,diffusion-single-file,image-to-image,en,license:apache-2.0,region:us,deploy:sagemaker",2026-04-06 16:08:58+00:00,2026-09-09,3719,True,False,False,,True,False,"sexual abuse material (CSAM) and nonconsensual intimate imagery (NCII). For detailed information about our mitigations, evaluation processes, content provenance features, and policies, please see our post: [Capable, Open, and Safe: Combating AI Misuse](https://bfl.ai/blog/capable-open-and-safe-combating-ai-mi",False,False,,True,True,"training data. - The model may fail to generate output that matches the prompts. - Prompt following is heavily influenced by the prompting style.  # Out-of-Scope Use  This model and its derivatives may not be used outside the scope of the license, including for unlawful, fraudulent, defamatory, abusive, or otherwi",False,False,,False,False,,False,False,True,apache-2.0,permissive,100k-1M,,False
city96/FLUX.1-schnell-gguf,city96,208851,350,"gguf,text-to-image,image-generation,flux,base_model:black-forest-labs/FLUX.1-schnell,base_model:quantized:black-forest-labs/FLUX.1-schnell,license:apache-2.0,region:us",2024-08-15 02:30:12+00:00,2026-09-09,514,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,black-forest-labs/FLUX.1-schnell,True
stablediffusionapi/revanimated,stablediffusionapi,205690,2,"diffusers,stablediffusionapi.com,stable-diffusion-api,text-to-image,ultra-realistic,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2023-05-10 14:34:08+00:00,2026-09-09,2228,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,creativeml-openrail-m,RAIL family,100k-1M,,False
cagliostrolab/animagine-xl-3.1,cagliostrolab,195193,735,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,en,base_model:cagliostrolab/animagine-xl-3.0,base_model:finetune:cagliostrolab/animagine-xl-3.0,license:openrail++,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-03-13 09:40:48+00:00,2026-09-09,18732,True,True,False,"g at viewer, outdoors, night"" negative_prompt = ""nsfw, lowres, (bad), text, error, fewer, extra, missing, worst quality, jpeg artifacts, low quality, watermark, unfinished, displeasing, oldest, early, chromatic aberration, signature, extra digits, artistic error, username, scan, [abstract]""  image = pipe(",False,False,,False,False,,False,False,,False,False,,False,False,,False,False,True,openrail++,RAIL family,100k-1M,cagliostrolab/animagine-xl-3.0,True
John6666/nova-furry-xl-il-v120-sdxl,John6666,187651,7,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,not-for-all-audiences,anime,hentai,furry,furry style,2D,2.5D,3D,feral,yiff,anthro,animals,detail,posing,e621/rule34 tags,merge,noobai,Illustrious XL v2.0,illustrious,en,base_model:Laxhar/noobai-XL-1.1,base_model:merge:Laxhar/noobai-XL-1.1,base_model:OnomaAIResearch/Illustrious-XL-v2.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-10-01 02:44:51+00:00,2026-09-09,165,False,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,other,other,100k-1M,Laxhar/noobai-XL-1.1,True
h94/IP-Adapter-FaceID,h94,179747,1882,"diffusers,text-to-image,stable-diffusion,en,arxiv:2308.06721,region:us",2023-12-20 03:15:30+00:00,2026-09-09,11150,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,,unspecified,100k-1M,,False
Lykon/DreamShaper,Lykon,166508,1018,"diffusers,stable-diffusion,stable-diffusion-diffusers,text-to-image,art,artistic,anime,en,doi:10.57967/hf/0453,license:other,diffusers:StableDiffusionPipeline,region:us",2023-01-12 09:14:06+00:00,2026-09-09,440,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,other,other,100k-1M,,False
stabilityai/stable-diffusion-3.5-medium,stabilityai,153232,1092,"diffusers,safetensors,text-to-image,stable-diffusion,en,arxiv:2403.03206,license:other,diffusers:StableDiffusion3Pipeline,region:us",2024-10-29 10:27:32+00:00,2026-09-09,10968,True,False,False,,False,False,,False,False,,True,True,"imitations of generative models.  All uses of the model must be in accordance with our [Acceptable Use Policy](https://stability.ai/use-policy).  ### Out-of-Scope Uses  The model was not trained to be factual or true representations of people or events.  As such, using the model to generate such content is out-of-s",True,True,"ance between usefulness and preventing harm. However, this does not guarantee that all possible harmful content has been removed. TAll developers and deployers should exercise caution and implement content safety guardrails based on their specific product policies and application use cases. * Misuse: Technical limi",False,False,,False,False,False,other,other,100k-1M,,False
stable-diffusion-v1-5/stable-diffusion-inpainting,stable-diffusion-v1-5,144338,119,"diffusers,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,diffusers:StableDiffusionInpaintPipeline,region:us",2024-08-30 10:08:03+00:00,2026-09-09,14938,True,True,False,"oved-aesthetics"" (a subset of laion2B-en, filtered to images with an original size `>= 512x512`, estimated aesthetics score `> 5.0`, and an estimated watermark probability `< 0.5`. The watermark estimate is from the LAION-5B metadata, the aesthetics score is estimated using an [improved aesthetics estimator]",False,False,,False,False,,True,True,"of people or their environments, cultures, religions, etc. - Intentionally promoting or propagating discriminatory content or harmful stereotypes. - Impersonating individuals without their consent. - Sexual content without consent of the people who might see it. - Mis- and disinformation - Representations of",False,False,,False,False,,False,False,True,creativeml-openrail-m,RAIL family,100k-1M,,False
duongve/NetaYume-Lumina-Image-2.0,duongve,139260,71,"diffusion-single-file,stable-diffusion,text-to-image,comfyui,base_model:Alpha-VLLM/Lumina-Image-2.0,base_model:finetune:Alpha-VLLM/Lumina-Image-2.0,license:apache-2.0,region:us",2025-08-06 09:08:01+00:00,2026-09-09,2542,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,Alpha-VLLM/Lumina-Image-2.0,True
unsloth/Z-Image-Turbo-GGUF,unsloth,134585,257,"ggml,gguf,quantized,unsloth,text-to-image,en,arxiv:2511.22699,arxiv:2511.22677,arxiv:2511.13649,base_model:Tongyi-MAI/Z-Image-Turbo,base_model:quantized:Tongyi-MAI/Z-Image-Turbo,license:apache-2.0,region:us",2025-12-21 22:47:59+00:00,2026-09-09,15310,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,Tongyi-MAI/Z-Image-Turbo,True
black-forest-labs/FLUX.2-klein-4b-fp8,black-forest-labs,134194,73,"diffusion-single-file,text-to-image,image-editing,flux,image-to-image,en,license:apache-2.0,region:us",2026-01-14 22:32:43+00:00,2026-09-09,7637,True,True,True,"atforms better identify, label, and interpret AI-generated content online. The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links to the https://c2pa.org/ standard for metadata. The API for FLUX.2 [klein] applies cryptographically-si",True,True,"The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links to the https://c2pa.org/ standard for metadata. The API for FLUX.2 [klein] applies cryptographically-signed C2PA metadata to downloaded output content to indicate that i",True,True,"and https://www.microsoft.com/. 6. Content provenance. Content provenance features can help users and platforms better identify, label, and interpret AI-generated content online. The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links",True,True,"e information that can be used to harm an individual. - To harass, abuse, threaten, stalk, or bully individuals or groups of individuals. - To create non-consensual intimate imagery or illegal pornographic content. - For fully automated decision making or high risk applications that adversely impact an individual",False,False,,False,False,,False,True,True,apache-2.0,permissive,100k-1M,,False
SimianLuo/LCM_Dreamshaper_v7,SimianLuo,128476,416,"diffusers,onnx,safetensors,text-to-image,en,arxiv:2310.04378,license:mit,diffusers:LatentConsistencyModelPipeline,region:us",2023-10-14 08:26:52+00:00,2026-09-09,3412,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,mit,permissive,100k-1M,,False
Lykon/dreamshaper-8,Lykon,126789,134,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,art,artistic,anime,dreamshaper,en,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2023-08-26 16:49:06+00:00,2026-09-09,2178,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,creativeml-openrail-m,RAIL family,100k-1M,,False
John6666/one-obsession-17-red-sdxl,John6666,125532,3,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,not-for-all-audiences,anime,girls,cute,balanced,hands,feet,texture,limbs,excellent lighting and shadow,details,finetune,my style,extreme light and shadow,composition,2D,2.5D,3D,merge,noobai,Illustrious XL v2.0,illustrious,en,base_model:Laxhar/noobai-XL-1.0,base_model:merge:Laxhar/noobai-XL-1.0,base_model:OnomaAIResearch/Illustrious-XL-v2.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-09-18 13:18:30+00:00,2026-09-09,162,False,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,other,other,100k-1M,Laxhar/noobai-XL-1.0,True
ScottzillaSystems/qwen-image-edit-plus-nsfw-lora,ScottzillaSystems,122532,348,"diffusers,lora,text-to-image,nsfw,image-editing,qwen-image-edit,not-for-all-audiences,image-to-image,base_model:Qwen/Qwen-Image-Edit-2511,base_model:adapter:Qwen/Qwen-Image-Edit-2511,license:openrail++,region:us",2026-03-16 07:29:35+00:00,2026-09-09,2016,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,openrail++,RAIL family,100k-1M,Qwen/Qwen-Image-Edit-2511,True
unsloth/Qwen-Image-2512-GGUF,unsloth,119731,409,"gguf,quantized,unsloth,qwen,text-to-image,en,zh,arxiv:2508.02324,base_model:Qwen/Qwen-Image-2512,base_model:quantized:Qwen/Qwen-Image-2512,license:apache-2.0,region:us",2025-12-30 08:09:37+00:00,2026-09-09,16873,True,False,False,,False,False,,True,False,"released in August, Qwen-Image-2512 features the following key improvements:  * **Enhanced Huamn Realism** Qwen-Image-2512 significantly reduces the “AI-generated” look and substantially enhances overall image realism, especially for human subjects. * **Finer Natural Detail** Qwen-Image-2512 delivers notably mo",False,False,,False,False,,False,False,,False,False,True,apache-2.0,permissive,100k-1M,Qwen/Qwen-Image-2512,True
xinsir/controlnet-union-sdxl-1.0,xinsir,117809,1820,"diffusers,safetensors,Text-to-Image,ControlNet,Diffusers,Stable Diffusion,text-to-image,license:apache-2.0,region:us",2024-07-07 07:41:40+00:00,2026-09-09,9733,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,,False
xinsir/controlnet-openpose-sdxl-1.0,xinsir,109554,311,"diffusers,safetensors,openpose,controlnet,controlnet-openpose-sdxl-1.0,text_to_image,text-to-image,arxiv:2302.05543,license:apache-2.0,region:us",2024-05-13 14:47:50+00:00,2026-09-09,7375,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,,False
John6666/amanatsu-illustrious-v11-sdxl,John6666,108521,3,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,anime,girls,characters,detailed anime look,backgrounds,better eyes,illustrious,en,base_model:OnomaAIResearch/Illustrious-xl-early-release-v0,base_model:finetune:OnomaAIResearch/Illustrious-xl-early-release-v0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-03-13 07:52:11+00:00,2026-09-09,152,False,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,other,other,100k-1M,OnomaAIResearch/Illustrious-xl-early-release-v0,True
