model_id,org,downloads,likes,tags,created_at,card_chars
unsloth/Z-Image-Turbo-GGUF,unsloth,134585,257,"ggml,gguf,quantized,unsloth,text-to-image,en,arxiv:2511.22699,arxiv:2511.22677,arxiv:2511.13649,base_model:Tongyi-MAI/Z-Image-Turbo,base_model:quantized:Tongyi-MAI/Z-Image-Turbo,license:apache-2.0,region:us",2025-12-21 22:47:59+00:00,15310
black-forest-labs/FLUX.2-klein-4b-fp8,black-forest-labs,134194,73,"diffusion-single-file,text-to-image,image-editing,flux,image-to-image,en,license:apache-2.0,region:us",2026-01-14 22:32:43+00:00,7637
SimianLuo/LCM_Dreamshaper_v7,SimianLuo,128476,416,"diffusers,onnx,safetensors,text-to-image,en,arxiv:2310.04378,license:mit,diffusers:LatentConsistencyModelPipeline,region:us",2023-10-14 08:26:52+00:00,3412
Lykon/dreamshaper-8,Lykon,126789,134,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,art,artistic,anime,dreamshaper,en,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2023-08-26 16:49:06+00:00,2178
John6666/one-obsession-17-red-sdxl,John6666,125532,3,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,not-for-all-audiences,anime,girls,cute,balanced,hands,feet,texture,limbs,excellent lighting and shadow,details,finetune,my style,extreme light and shadow,composition,2D,2.5D,3D,merge,noobai,Illustrious XL v2.0,illustrious,en,base_model:Laxhar/noobai-XL-1.0,base_model:merge:Laxhar/noobai-XL-1.0,base_model:OnomaAIResearch/Illustrious-XL-v2.0,base_model:merge:OnomaAIResearch/Illustrious-XL-v2.0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-09-18 13:18:30+00:00,162
ScottzillaSystems/qwen-image-edit-plus-nsfw-lora,ScottzillaSystems,122532,348,"diffusers,lora,text-to-image,nsfw,image-editing,qwen-image-edit,not-for-all-audiences,image-to-image,base_model:Qwen/Qwen-Image-Edit-2511,base_model:adapter:Qwen/Qwen-Image-Edit-2511,license:openrail++,region:us",2026-03-16 07:29:35+00:00,2016
unsloth/Qwen-Image-2512-GGUF,unsloth,119731,409,"gguf,quantized,unsloth,qwen,text-to-image,en,zh,arxiv:2508.02324,base_model:Qwen/Qwen-Image-2512,base_model:quantized:Qwen/Qwen-Image-2512,license:apache-2.0,region:us",2025-12-30 08:09:37+00:00,16873
xinsir/controlnet-union-sdxl-1.0,xinsir,117809,1820,"diffusers,safetensors,Text-to-Image,ControlNet,Diffusers,Stable Diffusion,text-to-image,license:apache-2.0,region:us",2024-07-07 07:41:40+00:00,9733
xinsir/controlnet-openpose-sdxl-1.0,xinsir,109554,311,"diffusers,safetensors,openpose,controlnet,controlnet-openpose-sdxl-1.0,text_to_image,text-to-image,arxiv:2302.05543,license:apache-2.0,region:us",2024-05-13 14:47:50+00:00,7375
John6666/amanatsu-illustrious-v11-sdxl,John6666,108521,3,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,anime,girls,characters,detailed anime look,backgrounds,better eyes,illustrious,en,base_model:OnomaAIResearch/Illustrious-xl-early-release-v0,base_model:finetune:OnomaAIResearch/Illustrious-xl-early-release-v0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-03-13 07:52:11+00:00,152
